
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.85940617e-01, -4.85917997e+00, 4.99999970e-02, -3.77555564e-03, 1.10009599e+00, -3.79981333e-03
1.74747869e-01, -5.00000000e+00, 4.99999970e-02, -3.56656848e-04, 1.09735847e+00, 1.08420217e-19
6.38116896e-02, -4.80657959e+00, 4.99999970e-02, 2.98878504e-03, 1.09408677e+00, -5.75263426e-03
-2.42775995e-02, -5.00000000e+00, 4.99999970e-02, 5.95989730e-03, 1.09153986e+00, 1.08420217e-19
-1.29800469e-01, -4.86997128e+00, 4.99999970e-02, 9.32140090e-03, 1.08839345e+00, -3.79084097e-03
-2.23303065e-01, -5.00000000e+00, 4.99999970e-02, 1.19864326e-02, 1.08579159e+00, 1.08420217e-19
-3.28079671e-01, -4.83739281e+00, 4.99999970e-02, 1.47696966e-02, 1.08287013e+00, -4.81619034e-03
-4.22328532e-01, -5.00000000e+00, 4.99999970e-02, 1.86050516e-02, 1.07973766e+00, 0.00000000e+00
-5.61265945e-01, -4.80417061e+00, 4.99999970e-02, 2.32849438e-02, 1.07577419e+00, -5.92130935e-03
-6.21353984e-01, -5.00000000e+00, 4.99999970e-02, 2.51963194e-02, 1.07361853e+00, 1.08420217e-19
-7.22467363e-01, -4.87147856e+00, 4.99999970e-02, 2.83803493e-02, 1.07064044e+00, -3.96040548e-03
-8.20379496e-01, -5.00000000e+00, 4.99999970e-02, 3.11484523e-02, 1.06782413e+00, 1.08420217e-19
-8.91234398e-01, -4.84031010e+00, 4.99999970e-02, 3.31287757e-02, 1.06552839e+00, -4.78039077e-03
-1.01940489e+00, -5.00000000e+00, 4.99999970e-02, 3.74955684e-02, 1.06195605e+00, 0.00000000e+00
-1.12415707e+00, -4.80658340e+00, 4.99999970e-02, 4.13260274e-02, 1.05858290e+00, -5.68604050e-03
-1.21843040e+00, -5.00000000e+00, 4.99999970e-02, 4.38046828e-02, 1.05602169e+00, 0.00000000e+00
-1.32117617e+00, -4.86776400e+00, 4.99999970e-02, 4.70798053e-02, 1.05295539e+00, -3.68696963e-03
-1.41745591e+00, -5.00000000e+00, 4.99999970e-02, 4.95805405e-02, 1.05028975e+00, 2.33721462e-15
-1.51117504e+00, -4.84405470e+00, 4.99999970e-02, 5.19649796e-02, 1.04795408e+00, -4.28054342e-03
-1.61648130e+00, -5.00000000e+00, 4.99999970e-02, 5.52004389e-02, 1.04485369e+00, 2.33721462e-15
-1.70755100e+00, -4.82426691e+00, 4.99999970e-02, 5.77451885e-02, 1.04243124e+00, -4.60023014e-03
-1.81550682e+00, -5.00000000e+00, 4.99999970e-02, 6.05968609e-02, 1.03966212e+00, 0.00000000e+00
-1.91685390e+00, -4.81065559e+00, 4.99999970e-02, 6.33685440e-02, 1.03717101e+00, -4.54901624e-03
-2.01453233e+00, -5.00000000e+00, 4.99999970e-02, 6.57008290e-02, 1.03471398e+00, 1.08420217e-19
-2.11582780e+00, -4.82734919e+00, 4.99999970e-02, 6.82425648e-02, 1.03235483e+00, -4.21145046e-03
-2.21355772e+00, -5.00000000e+00, 4.99999970e-02, 7.04169124e-02, 1.03011179e+00, 1.08420217e-19
-2.31698275e+00, -4.81624889e+00, 4.99999970e-02, 7.28944838e-02, 1.02784204e+00, -3.95612512e-03
-2.41258311e+00, -5.00000000e+00, 4.99999970e-02, 7.48244151e-02, 1.02580309e+00, 0.00000000e+00
-2.51922750e+00, -4.81381893e+00, 4.99999970e-02, 7.71833658e-02, 1.02369750e+00, -3.66387609e-03
-2.61160874e+00, -5.00000000e+00, 4.99999970e-02, 7.88234025e-02, 1.02181339e+00, 0.00000000e+00
-2.70691705e+00, -4.83054018e+00, 4.99999970e-02, 8.08654800e-02, 1.02003431e+00, -3.20609775e-03
-2.81063414e+00, -5.00000000e+00, 4.99999970e-02, 8.23806748e-02, 1.01824450e+00, 0.00000000e+00
-2.89862967e+00, -4.81709957e+00, 4.99999970e-02, 8.40063170e-02, 1.01673853e+00, -2.96107703e-03
-3.00965953e+00, -5.00000000e+00, 4.99999970e-02, 8.56444091e-02, 1.01500511e+00, 0.00000000e+00
-3.09354258e+00, -4.81342888e+00, 4.99999970e-02, 8.71401057e-02, 1.01365137e+00, -2.78559583e-03
-3.20868516e+00, -5.00000000e+00, 4.99999970e-02, 8.85420591e-02, 1.01209974e+00, 5.42101086e-20
-3.30063629e+00, -4.82105446e+00, 4.99999970e-02, 8.98793340e-02, 1.01080644e+00, -2.45900010e-03
-3.40771055e+00, -5.00000000e+00, 4.99999970e-02, 9.12417322e-02, 1.00947630e+00, 5.42101086e-20
-3.54482985e+00, -4.76869059e+00, 4.99999970e-02, 9.33285207e-02, 1.00781071e+00, -2.47579929e-03
-3.60673594e+00, -5.00000000e+00, 4.99999970e-02, 9.35740843e-02, 1.00715113e+00, 2.71050543e-20
-5.00000000e+00, 4.79996061e+00, 4.99999970e-02, 1.00589246e-01, 1.00000000e+00, 0.00000000e+00
-4.80089378e+00, 5.00000000e+00, 4.99999970e-02, 1.00344218e-01, 1.00012124e+00, 0.00000000e+00
-5.00000000e+00, 5.00000000e+00, 4.99999970e-02, 1.00442015e-01, 1.00000465e+00, 0.00000000e+00
-3.70451522e+00, -4.87875319e+00, 4.99999970e-02, 9.46945474e-02, 1.00615525e+00, -1.23056700e-03
-3.80576158e+00, -5.00000000e+00, 4.99999970e-02, 9.52940062e-02, 1.00527358e+00, 2.71050543e-20
-3.85013413e+00, -4.87847996e+00, 4.99999970e-02, 9.56910625e-02, 1.00490117e+00, -1.04375312e-03
-4.00478697e+00, -5.00000000e+00, 4.99999970e-02, 9.69121084e-02, 1.00363696e+00, 2.71050543e-20
-4.13510370e+00, -4.81381178e+00, 4.99999970e-02, 9.79941562e-02, 1.00274193e+00, -1.15809136e-03
-4.20381260e+00, -5.00000000e+00, 4.99999970e-02, 9.83140171e-02, 1.00227761e+00, 2.71050543e-20
-4.32447052e+00, -4.82854462e+00, 4.99999970e-02, 9.90323946e-02, 1.00168991e+00, -8.16173793e-04
-4.40283775e+00, -5.00000000e+00, 4.99999970e-02, 9.92170125e-02, 1.00130773e+00, -1.35525272e-20
-4.48454332e+00, -4.85782528e+00, 4.99999970e-02, 9.95959491e-02, 1.00100076e+00, -5.34702209e-04
-4.60186338e+00, -5.00000000e+00, 4.99999970e-02, 9.99115407e-02, 1.00056195e+00, -1.35525272e-20
-4.77929878e+00, 4.75323391e+00, 4.99999970e-02, 1.00552365e-01, 1.00020742e+00, 3.65745655e-04
-4.60186863e+00, 5.00000000e+00, 4.99999970e-02, 9.99704003e-02, 1.00053334e+00, 0.00000000e+00
-4.55673409e+00, 4.76505899e+00, 4.99999970e-02, 1.00028805e-01, 1.00072384e+00, 6.90201996e-04
-4.40284300e+00, 5.00000000e+00, 4.99999970e-02, 9.91855711e-02, 1.00131917e+00, -1.35525272e-20
-4.25383902e+00, 4.87561321e+00, 4.99999970e-02, 9.84664187e-02, 1.00207651e+00, 6.85996376e-04
-4.20381737e+00, 5.00000000e+00, 4.99999970e-02, 9.81690511e-02, 1.00235236e+00, -1.35525272e-20
-4.10175467e+00, 4.87819195e+00, 4.99999970e-02, 9.77871642e-02, 1.00290799e+00, 8.17046035e-04
-4.00479221e+00, 5.00000000e+00, 4.99999970e-02, 9.69959125e-02, 1.00361705e+00, 0.00000000e+00
-3.93205571e+00, 4.78799343e+00, 4.99999970e-02, 9.68080685e-02, 1.00413799e+00, 1.67816912e-03
-3.80576658e+00, 5.00000000e+00, 4.99999970e-02, 9.53692645e-02, 1.00526285e+00, 0.00000000e+00
-3.69791412e+00, 4.78560686e+00, 4.99999970e-02, 9.45561007e-02, 1.00619471e+00, 2.05571507e-03
-3.60674119e+00, 5.00000000e+00, 4.99999970e-02, 9.34018940e-02, 1.00721598e+00, 0.00000000e+00
-3.50302076e+00, 4.79450941e+00, 4.99999970e-02, 9.25033316e-02, 1.00830603e+00, 2.31744559e-03
-3.40771556e+00, 5.00000000e+00, 4.99999970e-02, 9.11865532e-02, 1.00945139e+00, 0.00000000e+00
-3.30812740e+00, 4.80341196e+00, 4.99999970e-02, 9.02590156e-02, 1.01061726e+00, 2.57832441e-03
-3.20869017e+00, 5.00000000e+00, 4.99999970e-02, 8.86128694e-02, 1.01202619e+00, 0.00000000e+00
-3.10539269e+00, 4.78055048e+00, 4.99999970e-02, 8.73556584e-02, 1.01342845e+00, 3.21694254e-03
-3.00966477e+00, 5.00000000e+00, 4.99999970e-02, 8.57256055e-02, 1.01491070e+00, 5.42101086e-20
-2.92690134e+00, 4.83190298e+00, 4.99999970e-02, 8.45668092e-02, 1.01623559e+00, 2.75130128e-03
-2.81063914e+00, 5.00000000e+00, 4.99999970e-02, 8.26312527e-02, 1.01806808e+00, 5.42101086e-20
-2.75561166e+00, 4.73961401e+00, 4.99999970e-02, 8.21607038e-02, 1.01910520e+00, 4.67492966e-03
-2.61161375e+00, 5.00000000e+00, 4.99999970e-02, 7.89560229e-02, 1.02171302e+00, 0.00000000e+00
-2.52371383e+00, 4.74331236e+00, 4.99999970e-02, 7.72124156e-02, 1.02347744e+00, 4.99525433e-03
-2.41258836e+00, 5.00000000e+00, 4.99999970e-02, 7.47605264e-02, 1.02577412e+00, 0.00000000e+00
-2.31501985e+00, 4.75732231e+00, 4.99999970e-02, 7.29215965e-02, 1.02783108e+00, 5.08521730e-03
-2.21356273e+00, 5.00000000e+00, 4.99999970e-02, 7.03641474e-02, 1.03007507e+00, 0.00000000e+00
-2.09867167e+00, 4.77286148e+00, 4.99999970e-02, 6.80543259e-02, 1.03255379e+00, 5.33962296e-03
-2.01453733e+00, 5.00000000e+00, 4.99999970e-02, 6.56176656e-02, 1.03470063e+00, 1.08420217e-19
-1.89964616e+00, 4.77286148e+00, 4.99999970e-02, 6.28609881e-02, 1.03756773e+00, 5.68979932e-03
-1.81551194e+00, 5.00000000e+00, 4.99999970e-02, 6.05374202e-02, 1.03959870e+00, 1.08420217e-19
-1.69732428e+00, 4.76466513e+00, 4.99999970e-02, 5.75803407e-02, 1.04264724e+00, 5.94672142e-03
-1.61648643e+00, 5.00000000e+00, 4.99999970e-02, 5.52100688e-02, 1.04474473e+00, -2.16840434e-19
-1.50846934e+00, 4.78410053e+00, 4.99999970e-02, 5.22774123e-02, 1.04782939e+00, 6.02851203e-03
-1.41746092e+00, 5.00000000e+00, 4.99999970e-02, 4.95819896e-02, 1.05019069e+00, -4.33680869e-19
-1.30944395e+00, 4.78410053e+00, 4.99999970e-02, 4.64814864e-02, 1.05334723e+00, 6.04160083e-03
-1.21843553e+00, 5.00000000e+00, 4.99999970e-02, 4.36173454e-02, 1.05588031e+00, -4.33680869e-19
-1.11072445e+00, 4.80592871e+00, 4.99999970e-02, 4.02266644e-02, 1.05907094e+00, 5.72331948e-03
-1.01941001e+00, 5.00000000e+00, 4.99999970e-02, 3.75653729e-02, 1.06162405e+00, -2.16840434e-19
-9.30358946e-01, 4.82477999e+00, 4.99999970e-02, 3.44908275e-02, 1.06462324e+00, 5.15675358e-03
-8.20384562e-01, 5.00000000e+00, 4.99999970e-02, 3.14336978e-02, 1.06744599e+00, 0.00000000e+00
-7.41938055e-01, 4.83373976e+00, 4.99999970e-02, 2.89706662e-02, 1.07028806e+00, 5.00344066e-03
-6.21359110e-01, 5.00000000e+00, 4.99999970e-02, 2.50459872e-02, 1.07353485e+00, 0.00000000e+00
-5.25514364e-01, 4.83218813e+00, 4.99999970e-02, 2.21580919e-02, 1.07656229e+00, 5.35054365e-03
-4.22333628e-01, 5.00000000e+00, 4.99999970e-02, 1.84621774e-02, 1.07976222e+00, -1.08420217e-19
-3.11362088e-01, 4.83101463e+00, 4.99999970e-02, 1.47832353e-02, 1.08307922e+00, 5.28040109e-03
-2.23308161e-01, 5.00000000e+00, 4.99999970e-02, 1.19801015e-02, 1.08577657e+00, -2.16840434e-19
