x,y,u,v,p
1.98,0.0,-0.0382491946220397,-0.0018305592238903,0.0167680904269218
2.0,0.0,-0.0379223376512527,-0.0017815083265304,0.0168193727731704
2.02,0.0,-0.0375759005546569,-0.0017338450998067,0.0168687626719474
2.04,0.0,-0.0372103154659271,-0.0016873367130756,0.0169163197278976
2.06,0.0,-0.0368265062570571,-0.0016421303153038,0.016962070018053
2.08,0.0,-0.0364246815443038,-0.0015981439501047,0.0170062221586704
2.1,0.0,-0.036005824804306,-0.0015553347766399,0.0170486606657505
2.12,0.0,-0.0355701446533203,-0.0015135910362005,0.0170894861221313
2.14,0.0,-0.0351180285215377,-0.0014732051640748,0.0171287097036838
2.16,0.0,-0.0346500724554061,-0.0014338809996843,0.0171664599329233
2.18,0.0,-0.0341669172048568,-0.001395734027028,0.0172026176005601
