
[Name]
cyld2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
2.53019905e+00, -1.71134651e-01, -9.99999940e-02, -4.84478921e-02
2.53930998e+00, -1.94331318e-01, 9.99999940e-02, -4.57949080e-02
2.53930998e+00, -1.94331318e-01, -9.99999940e-02, -4.57949080e-02
2.54957294e+00, -2.17061028e-01, 9.99999940e-02, -4.33596224e-02
2.54957294e+00, -2.17061028e-01, -9.99999940e-02, -4.33596224e-02
2.56094027e+00, -2.39220545e-01, 9.99999940e-02, -4.13095616e-02
2.56094027e+00, -2.39220545e-01, -9.99999940e-02, -4.13095616e-02
2.57340956e+00, -2.60807663e-01, 9.99999940e-02, -3.97768430e-02
2.57340956e+00, -2.60807663e-01, -9.99999940e-02, -3.97768430e-02
2.58695793e+00, -2.81773418e-01, 9.99999940e-02, -3.89581658e-02
2.58695793e+00, -2.81773418e-01, -9.99999940e-02, -3.89581658e-02
2.60155368e+00, -3.02060515e-01, 9.99999940e-02, -3.91344875e-02
2.60155368e+00, -3.02060515e-01, -9.99999940e-02, -3.91344875e-02
2.61709309e+00, -3.21531147e-01, 9.99999940e-02, -4.04211208e-02
2.61709309e+00, -3.21531147e-01, -9.99999940e-02, -4.04211208e-02
2.63357854e+00, -3.40198994e-01, 9.99999940e-02, -4.28143144e-02
2.63357854e+00, -3.40198994e-01, -9.99999940e-02, -4.28143144e-02
2.65097308e+00, -3.58022720e-01, 9.99999940e-02, -4.63954434e-02
2.65097308e+00, -3.58022720e-01, -9.99999940e-02, -4.63954434e-02
2.66923380e+00, -3.74958187e-01, 9.99999940e-02, -5.12523651e-02
2.66923380e+00, -3.74958187e-01, -9.99999940e-02, -5.12523651e-02
2.68831491e+00, -3.90963405e-01, 9.99999940e-02, -5.74128814e-02
2.68831491e+00, -3.90963405e-01, -9.99999940e-02, -5.74128814e-02
2.70819759e+00, -4.06018913e-01, 9.99999940e-02, -6.48583770e-02
2.70819759e+00, -4.06018913e-01, -9.99999940e-02, -6.48583770e-02
2.72884583e+00, -4.20089811e-01, 9.99999940e-02, -7.35195577e-02
2.72884583e+00, -4.20089811e-01, -9.99999940e-02, -7.35195577e-02
3.49939179e+00, -2.46554390e-02, -9.99999940e-02, -1.97474480e-01
3.49939179e+00, -2.46554390e-02, 9.99999940e-02, -1.97474480e-01
