
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
9.70849752e-01, -5.00000000e+00, 4.99999970e-02, -1.39063392e-02, 1.00000000e+00, 0.00000000e+00
8.86900425e-01, -4.80657530e+00, 4.99999970e-02, -1.22571168e-02, 1.06069338e+00, -8.26356059e-04
7.71824300e-01, -5.00000000e+00, 4.99999970e-02, -8.79989285e-03, 1.00000000e+00, 0.00000000e+00
6.87874973e-01, -4.80657530e+00, 4.99999970e-02, -6.39086589e-03, 1.06044316e+00, -1.19573344e-03
5.72798789e-01, -5.00000000e+00, 4.99999970e-02, -2.91034905e-03, 1.00000000e+00, 0.00000000e+00
4.77462381e-01, -4.79604340e+00, 4.99999970e-02, 2.88566778e-04, 1.06071448e+00, -1.50309596e-03
3.73773336e-01, -5.00000000e+00, 4.99999970e-02, 3.31773306e-03, 1.00000000e+00, 0.00000000e+00
2.85940617e-01, -4.85917997e+00, 4.99999970e-02, 6.25051232e-03, 1.04617476e+00, -8.95651174e-04
1.74747869e-01, -5.00000000e+00, 4.99999970e-02, 9.85963363e-03, 1.00000000e+00, 0.00000000e+00
6.38116896e-02, -4.80657959e+00, 4.99999970e-02, 1.36774415e-02, 1.05584133e+00, -1.85993162e-03
-2.42775995e-02, -5.00000000e+00, 4.99999970e-02, 1.69827566e-02, 1.00000000e+00, 0.00000000e+00
-1.29800469e-01, -4.86997128e+00, 4.99999970e-02, 2.08078083e-02, 1.04013288e+00, -9.16251563e-04
-2.23303065e-01, -5.00000000e+00, 4.99999970e-02, 2.37475708e-02, 1.00000000e+00, 0.00000000e+00
-3.28079671e-01, -4.83739281e+00, 4.99999970e-02, 2.65869908e-02, 1.04383278e+00, -1.53654732e-03
-4.22328532e-01, -5.00000000e+00, 4.99999970e-02, 3.07261758e-02, 1.00000000e+00, 0.00000000e+00
-5.61265945e-01, -4.80417061e+00, 4.99999970e-02, 3.56813520e-02, 1.04536974e+00, -2.29436741e-03
-6.21353984e-01, -5.00000000e+00, 4.99999970e-02, 3.79821807e-02, 1.00000000e+00, 0.00000000e+00
-7.22467363e-01, -4.87147856e+00, 4.99999970e-02, 4.13337387e-02, 1.03367293e+00, -1.21727283e-03
-8.20379496e-01, -5.00000000e+00, 4.99999970e-02, 4.43737060e-02, 1.00000000e+00, 0.00000000e+00
-8.91234398e-01, -4.84031010e+00, 4.99999970e-02, 4.63911481e-02, 1.03592026e+00, -1.86378416e-03
-1.01940489e+00, -5.00000000e+00, 4.99999970e-02, 5.09018376e-02, 1.00000000e+00, 0.00000000e+00
-1.12415707e+00, -4.80658340e+00, 4.99999970e-02, 5.49850836e-02, 1.03616583e+00, -2.47978931e-03
-1.21843040e+00, -5.00000000e+00, 4.99999970e-02, 5.77154011e-02, 1.00000000e+00, 0.00000000e+00
-1.32117617e+00, -4.86776400e+00, 4.99999970e-02, 6.12713695e-02, 1.02651632e+00, -1.24838098e-03
-1.41745591e+00, -5.00000000e+00, 4.99999970e-02, 6.39954507e-02, 1.00000000e+00, 0.00000000e+00
-1.51117504e+00, -4.84405470e+00, 4.99999970e-02, 6.63761124e-02, 1.02715969e+00, -1.71438151e-03
-1.61648130e+00, -5.00000000e+00, 4.99999970e-02, 6.97657391e-02, 1.00000000e+00, 0.00000000e+00
-1.70755100e+00, -4.82426691e+00, 4.99999970e-02, 7.23630041e-02, 1.02588737e+00, -2.07228563e-03
-1.81550682e+00, -5.00000000e+00, 4.99999970e-02, 7.53125995e-02, 1.00000000e+00, 0.00000000e+00
-1.91685390e+00, -4.81065559e+00, 4.99999970e-02, 7.80948699e-02, 1.02350557e+00, -2.13608728e-03
-2.01453233e+00, -5.00000000e+00, 4.99999970e-02, 8.05752575e-02, 1.00000000e+00, 0.00000000e+00
-2.11582780e+00, -4.82734919e+00, 4.99999970e-02, 8.30898210e-02, 1.02053082e+00, -2.02109129e-03
-2.21355772e+00, -5.00000000e+00, 4.99999970e-02, 8.54152292e-02, 1.00000000e+00, 0.00000000e+00
-2.31698275e+00, -4.81624889e+00, 4.99999970e-02, 8.78341720e-02, 1.01798546e+00, -1.95230078e-03
-2.41258311e+00, -5.00000000e+00, 4.99999970e-02, 8.98755491e-02, 1.00000000e+00, 0.00000000e+00
-2.51922750e+00, -4.81381893e+00, 4.99999970e-02, 9.21595916e-02, 1.01549804e+00, -1.85804628e-03
-2.61160874e+00, -5.00000000e+00, 4.99999970e-02, 9.39474255e-02, 1.00000000e+00, 0.00000000e+00
-2.70691705e+00, -4.83054018e+00, 4.99999970e-02, 9.58915204e-02, 1.01304066e+00, -1.64452952e-03
-2.81063414e+00, -5.00000000e+00, 4.99999970e-02, 9.75218341e-02, 1.00000000e+00, 0.00000000e+00
-2.89862967e+00, -4.81709957e+00, 4.99999970e-02, 9.90284979e-02, 1.01115930e+00, -1.57066016e-03
-3.00965953e+00, -5.00000000e+00, 4.99999970e-02, 1.00710891e-01, 1.00000000e+00, 0.00000000e+00
-3.09354258e+00, -4.81342888e+00, 4.99999970e-02, 1.02131203e-01, 1.00931621e+00, -1.56408071e-03
-3.20868516e+00, -5.00000000e+00, 4.99999970e-02, 1.03551403e-01, 1.00000000e+00, 0.00000000e+00
-3.30063629e+00, -4.82105446e+00, 4.99999970e-02, 1.04800567e-01, 1.00752199e+00, -1.41793303e-03
-3.40771055e+00, -5.00000000e+00, 4.99999970e-02, 1.06174923e-01, 1.00000000e+00, 0.00000000e+00
-3.54482985e+00, -4.76869059e+00, 4.99999970e-02, 1.08112060e-01, 1.00589824e+00, -1.53149199e-03
-3.60673594e+00, -5.00000000e+00, 4.99999970e-02, 1.08395278e-01, 1.00000000e+00, 0.00000000e+00
-5.00000000e+00, 4.79996061e+00, 4.99999970e-02, 1.14813596e-01, 1.00000000e+00, 0.00000000e+00
-4.80089378e+00, 5.00000000e+00, 4.99999970e-02, 1.14616483e-01, 1.00000000e+00, 0.00000000e+00
-5.00000000e+00, 5.00000000e+00, 4.99999970e-02, 1.14691600e-01, 1.00000000e+00, 0.00000000e+00
-3.70451522e+00, -4.87875319e+00, 4.99999970e-02, 1.09524988e-01, 1.00373840e+00, -7.11827655e-04
-3.80576158e+00, -5.00000000e+00, 4.99999970e-02, 1.10002793e-01, 1.00000000e+00, 0.00000000e+00
-3.85013413e+00, -4.87847996e+00, 4.99999970e-02, 1.10498026e-01, 1.00305510e+00, -5.90543670e-04
-4.00478697e+00, -5.00000000e+00, 4.99999970e-02, 1.11602455e-01, 1.00000000e+00, 0.00000000e+00
-4.13510370e+00, -4.81381178e+00, 4.99999970e-02, 1.12596631e-01, 1.00199640e+00, -7.21877208e-04
-4.20381260e+00, -5.00000000e+00, 4.99999970e-02, 1.12968385e-01, 1.00000000e+00, 0.00000000e+00
-4.32447052e+00, -4.82854462e+00, 4.99999970e-02, 1.13576435e-01, 1.00121975e+00, -5.15745662e-04
-4.40283775e+00, -5.00000000e+00, 4.99999970e-02, 1.13745682e-01, 1.00000000e+00, 0.00000000e+00
-4.48454332e+00, -4.85782528e+00, 4.99999970e-02, 1.14088610e-01, 1.00071049e+00, -3.45117587e-04
-4.60186338e+00, -5.00000000e+00, 4.99999970e-02, 1.14361823e-01, 1.00000000e+00, 0.00000000e+00
-4.77929878e+00, 4.75323391e+00, 4.99999970e-02, 1.14786990e-01, 1.00016785e+00, 2.81135697e-04
-4.60186863e+00, 5.00000000e+00, 4.99999970e-02, 1.14323325e-01, 1.00000000e+00, 0.00000000e+00
-4.55673409e+00, 4.76505899e+00, 4.99999970e-02, 1.14334263e-01, 1.00056505e+00, 5.01006434e-04
-4.40284300e+00, 5.00000000e+00, 4.99999970e-02, 1.13606006e-01, 1.00000000e+00, 0.00000000e+00
-4.25383902e+00, 4.87561321e+00, 4.99999970e-02, 1.12985820e-01, 1.00139642e+00, 4.33007866e-04
-4.20381737e+00, 5.00000000e+00, 4.99999970e-02, 1.12644717e-01, 1.00000000e+00, 0.00000000e+00
-4.10175467e+00, 4.87819195e+00, 4.99999970e-02, 1.12359904e-01, 1.00186670e+00, 5.12511353e-04
