Points:0,Points:1,U:0,U:1,p
0.10048,0.63439,0.62406,0.060587,-0.42336
0.10649,0.67236,0.76861,0.097262,-0.40354
0.1127,0.71154,0.89708,0.13366,-0.38256
0.1191,0.75198,1.0059,0.16671,-0.36061
0.12571,0.79369,1.0934,0.19432,-0.33805
0.13253,0.83674,1.1599,0.21541,-0.31538
0.13956,0.88115,1.2074,0.22979,-0.29309
0.14682,0.92698,1.2386,0.23798,-0.27161
0.15431,0.97427,1.2568,0.24089,-0.25125
0.16204,1.0231,1.2654,0.23964,-0.23219
0.17001,1.0734,1.2673,0.23538,-0.2145
0.17824,1.1254,1.2648,0.22878,-0.19849
0.18673,1.179,1.2591,0.22128,-0.18262
0.052264,0.49726,0.088351,-0.0063121,-0.49619
0.05581,0.53099,0.1745,-0.0015224,-0.48666
0.059468,0.5658,0.34731,0.016561,-0.46716
0.063243,0.60172,0.51768,0.048399,-0.44742
0.067138,0.63877,0.67869,0.087591,-0.42716
0.071157,0.67701,0.82407,0.12864,-0.40538
0.075304,0.71647,0.94913,0.16737,-0.38214
0.079583,0.75718,1.0513,0.20076,-0.35784
0.083998,0.79918,1.1301,0.22703,-0.33306
0.088553,0.84253,1.1872,0.2456,-0.30844
0.093254,0.88725,1.2255,0.25681,-0.28454
0.098104,0.9334,1.2486,0.26163,-0.26182
0.10311,0.98101,1.2602,0.26135,-0.24055
0.10827,1.0301,1.2637,0.25728,-0.22087
0.1136,1.0808,1.2619,0.25063,-0.2028
0.1191,1.1331,1.2569,0.24218,-0.18648
0.12477,1.1871,1.2498,0.23297,-0.17064
0.026168,0.49931,0.10146,-0.0021853,-0.50092
0.027943,0.53319,0.19677,0.0069506,-0.49121
0.029775,0.56814,0.38492,0.033562,-0.47115
0.031665,0.6042,0.56475,0.073088,-0.45038
0.033615,0.64141,0.7297,0.11825,-0.42852
0.035627,0.67981,0.87409,0.16304,-0.40466
0.037704,0.71943,0.99417,0.20318,-0.3791
0.039846,0.76031,1.0886,0.2359,-0.35247
0.042056,0.80249,1.1584,0.25994,-0.32558
0.044337,0.84601,1.2063,0.2753,-0.29917
0.046691,0.89092,1.2361,0.28291,-0.27389
0.049119,0.93725,1.2522,0.28419,-0.25015
0.051625,0.98506,1.2583,0.28071,-0.2282
0.054211,1.0344,1.2578,0.27393,-0.2081
0.056878,1.0853,1.2533,0.26506,-0.18981
0.059631,1.1378,1.2467,0.25492,-0.17332
0.062471,1.192,1.2387,0.24414,-0.15765
0,0.5,0.11468,0.0032597,-0.50255
0,0.53392,0.21881,0.017525,-0.49276
0,0.56892,0.42125,0.053793,-0.47229
0,0.60503,0.60898,0.10132,-0.45049
0,0.64229,0.77609,0.15212,-0.42696
0,0.68074,0.9178,0.19987,-0.40097
0,0.72041,1.0316,0.24043,-0.37309
0,0.76135,1.1177,0.27152,-0.34424
0,0.80359,1.1784,0.29252,-0.31541
0,0.84717,1.2176,0.30414,-0.28746
0,0.89214,1.24,0.30788,-0.26105
0,0.93854,1.25,0.30557,-0.23656
0,0.98642,1.2518,0.29897,-0.21416
0,1.0358,1.2483,0.28963,-0.19383
0,1.0868,1.242,0.27869,-0.1755
0,1.1394,1.2344,0.26701,-0.15898
0,1.1937,1.2261,0.25479,-0.14364
0.35355,0.35355,-0.0066755,0.0071602,-0.3471
0.37754,0.37754,-0.0053753,0.010248,-0.34437
