"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.52354,-0.55893,0.005,0.23104,-0.00094501,-2.8812e-19,-0.28772
15.318,0.96696,0.005,0.80019,-0.011914,-5.5698e-21,0.00012804
10.073,1.8986,0.005,1.0256,-0.019016,1.215e-19,-0.0059662
19.188,3.5545,0.005,1.0557,-0.0052823,1.7496e-21,-0.00027291
18.228,3.5276,0.005,1.0562,-0.0055021,8.3788e-22,-0.00059769
15.938,2.2254,0.005,1.0291,-0.0086724,1.0792e-21,-0.00059901
11.062,0.23172,0.005,0.55668,-0.006713,3.1802e-21,-0.0015624
16.352,0.39212,0.005,0.68274,-0.0057383,-2.4004e-21,0.00037748
0.55,-3.942,0.005,1.077,-0.053903,4.1845e-20,-0.024064
15.055,4.058,0.005,1.0578,-0.0068013,1.4482e-20,-0.0026742
18.06,4.9056,0.005,1.054,-0.0048013,-5.0096e-20,-0.0010677
14.16,-6.9701,0.005,1.0533,0.0044688,4.3548e-19,-0.0052461
-1.5809,4.9507,0.005,1.0322,0.041442,4.6075e-19,0.020572
3.4684,-0.45009,0.005,0.2755,0.04122,-1.1082e-18,-0.092965
-1.5497,-0.65384,0.005,0.85252,-0.1083,-1.1906e-18,0.19369
-2.0448,2.9182,0.005,1.0068,0.071246,-2.0566e-19,0.050334
-0.35591,2.8995,0.005,1.0639,0.095853,-3.6341e-19,-0.010464
13.936,2.6065,0.005,1.0525,-0.0094776,-1.6623e-20,-0.0021014
14.484,3.3347,0.005,1.0588,-0.007877,7.0082e-21,-0.0024876
-4.6904,2.9883,0.005,0.99459,0.025078,-2.0362e-18,0.064351
-0.22573,1.0074,0.005,1.12,0.33801,5.13e-19,-0.12505
13.632,-3.119,0.005,1.0592,0.0089902,-2.4305e-20,-0.0029653
13.254,-1.703,0.005,0.97917,0.013689,8.148e-20,-0.0013493
2.6842,-2.3313,0.005,1.1364,-0.0089763,-3.454e-18,-0.084185
17.466,2.6911,0.005,1.0477,-0.0066512,-7.7149e-22,-0.0004931
14.327,-2.9544,0.005,1.0573,0.0084814,-4.2534e-20,-0.00221
4.0004,0.79071,0.005,0.59785,-0.054286,-6.6224e-19,-0.072698
16.568,4.4976,0.005,1.0559,-0.0055863,-1.9821e-20,-0.0018501
9.193,-3.5601,0.005,1.0679,0.014105,-1.1192e-19,-0.011831
-0.31291,-1.2682,0.005,1.0852,-0.26271,-6.0016e-19,-0.059645
0.37657,-1.207,0.005,1.2002,-0.18063,1.8206e-18,-0.19153
-1.5983,-2.858,0.005,1.0157,-0.08303,1.0259e-20,0.040543
-1.1082,0.94093,0.005,0.8874,0.20527,1.2696e-18,0.14841
-0.60604,3.4835,0.005,1.0523,0.074698,3.1776e-21,0.0020521
6.8819,2.2054,0.005,1.0728,-0.025127,-1.7747e-19,-0.021714
8.4726,1.7723,0.005,1.0212,-0.024744,-1.5718e-19,-0.010786
11.735,1.3521,0.005,0.90668,-0.018,5.7842e-21,-0.0019216
2.3851,4.5085,0.005,1.0867,0.02067,-2.4961e-19,-0.034733
16.902,1.5933,0.005,0.94562,-0.010151,-4.6923e-21,0.00020164
-1.9937,1.6678,0.005,0.961,0.092027,-3.3891e-19,0.096164
9.659,4.6606,0.005,1.0647,-0.010641,-6.042e-19,-0.011535
19.492,2.5315,0.005,1.038,-0.0064477,2.4393e-21,-6.5136e-05
19.019,1.8875,0.005,0.98483,-0.0082633,-5.7176e-21,-3.861e-05
-0.40361,-3.4318,0.005,1.0584,-0.076101,1.3466e-19,-0.0043952
14.248,1.0956,0.005,0.83287,-0.013583,-6.1098e-21,-0.00030139
9.4778,-2.3376,0.005,1.0589,0.017921,9.8988e-20,-0.0085632
6.8354,-2.7573,0.005,1.0796,0.020557,-1.5285e-19,-0.022832
0.75948,0.14362,0.005,-0.048302,0.02651,-4.3215e-20,-0.25594
3.0058,-0.68467,0.005,0.47107,0.052585,-1.5194e-18,-0.11551
4.8326,0.66645,0.005,0.51991,-0.046095,6.8825e-19,-0.048412
-0.3841,1.2345,0.005,1.0656,0.27141,-1.95e-19,-0.041561
-0.64304,-0.41492,0.005,0.62126,-0.45695,2.4062e-19,0.25658
8.6936,-0.49931,0.005,0.55994,0.019759,-1.3077e-19,-0.0066092
5.7748,-2.7939,0.005,1.0884,0.019855,-4.0372e-19,-0.032159
-2.9222,-3.6388,0.005,1.0069,-0.045929,-3.9467e-19,0.04973
1.1046,2.3544,0.005,1.1373,0.07327,2.4051e-18,-0.087901
-0.82367,-0.68047,0.005,0.81867,-0.31453,-1.1935e-18,0.17898
-0.069761,-2.6469,0.005,1.0807,-0.10487,-5.5128e-19,-0.028798
-0.53813,-1.5993,0.005,1.0463,-0.19845,1.0363e-19,-0.0044622
13.561,0.2501,0.005,0.61848,-0.0051894,-4.0219e-22,-0.00010194
13.642,-0.68783,0.005,0.71137,0.012247,-8.5922e-21,-0.00011328
15.041,-0.108,0.005,0.63398,0.0019335,-1.0247e-21,0.00033353
-0.68649,0.48106,0.005,0.69364,0.41903,9.532e-19,0.23056
-1.6417,-1.1645,0.005,0.92115,-0.11995,2.526e-18,0.13143
15.711,-1.0878,0.005,0.83348,0.011518,-1.2597e-20,0.00029268
7.6638,-3.4271,0.005,1.074,0.01609,-6.1457e-19,-0.018032
-3.0323,-1.4832,0.005,0.96225,-0.045787,-4.1102e-18,0.098467
5.5474,4.6241,0.005,1.0794,-0.0066953,1.1887e-18,-0.026992
7.2989,2.9189,0.005,1.0766,-0.019166,3.0435e-19,-0.019755
-5.3014,2.1049,0.005,0.99036,0.016837,4.5903e-18,0.070638
12.573,-1.7987,0.005,0.99775,0.014309,7.5301e-20,-0.002135
0.31971,-0.65729,0.005,0.49719,-0.0095334,8.9424e-19,-0.3267
9.8223,-4.6681,0.005,1.0643,0.010485,4.7497e-20,-0.011093
11.4,-3.5483,0.005,1.0627,0.011153,-1.9955e-19,-0.0064289
19.289,1.0006,0.005,0.82219,-0.0086553,-6.3356e-21,0.00029479
1.0376,-3.2151,0.005,1.1026,-0.058688,-3.4035e-19,-0.050136
1.3886,0.78467,0.005,0.61265,-0.015529,3.1047e-18,-0.21375
4.726,-0.61128,0.005,0.47082,0.044394,4.5336e-19,-0.04916
-3.2542,0.53718,0.005,0.94731,0.0178,5.5793e-20,0.11439
0.90252,-0.53339,0.005,0.22279,-0.006613,-5.2033e-19,-0.25313
13.506,3.4906,0.005,1.0599,-0.0086862,1.0924e-20,-0.0035321
10.108,-2.3807,0.005,1.0575,0.016292,1.0071e-19,-0.0069742
-1.1622,2.209,0.005,1.0143,0.12041,-2.8307e-19,0.039796
-2.2121,3.9525,0.005,1.0185,0.051434,-2.3579e-20,0.036963
-3.4418,3.4785,0.005,1.0014,0.039685,-1.7245e-19,0.055854
-1.4185,3.7356,0.005,1.0312,0.063762,4.2078e-19,0.023958
-3.4589,2.7368,0.005,0.99138,0.041898,9.8475e-20,0.06765
9.5676,-1.6191,0.005,0.98367,0.022547,-1.3684e-19,-0.0063771
10.295,2.9001,0.005,1.0644,-0.014246,-1.3846e-19,-0.0076411
11.707,3.1458,0.005,1.0621,-0.011394,1.0825e-19,-0.0053439
10.719,3.9097,0.005,1.0636,-0.011343,-8.4829e-21,-0.0082649
