
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-4.22328532e-01, -5.00000000e+00, 4.99999970e-02, 3.09277140e-02, 1.00000000e+00, 0.00000000e+00, -4.22328532e-01, -5.00000000e+00
-5.61265945e-01, -4.80417061e+00, 4.99999970e-02, 3.58827822e-02, 1.04537606e+00, -2.29490036e-03, -5.61265945e-01, -4.80417061e+00
-6.21353984e-01, -5.00000000e+00, 4.99999970e-02, 3.81841138e-02, 1.00000000e+00, 0.00000000e+00, -6.21353984e-01, -5.00000000e+00
-7.22467363e-01, -4.87147856e+00, 4.99999970e-02, 4.15357910e-02, 1.03367782e+00, -1.21724093e-03, -7.22467363e-01, -4.87147856e+00
-8.20379496e-01, -5.00000000e+00, 4.99999970e-02, 4.45772335e-02, 1.00000000e+00, 0.00000000e+00, -8.20379496e-01, -5.00000000e+00
-8.91234398e-01, -4.84031010e+00, 4.99999970e-02, 4.65951450e-02, 1.03592432e+00, -1.86402665e-03, -8.91234398e-01, -4.84031010e+00
-1.01940489e+00, -5.00000000e+00, 4.99999970e-02, 5.11059687e-02, 1.00000000e+00, 0.00000000e+00, -1.01940489e+00, -5.00000000e+00
-1.12415707e+00, -4.80658340e+00, 4.99999970e-02, 5.51889464e-02, 1.03616989e+00, -2.48028501e-03, -1.12415707e+00, -4.80658340e+00
-1.21843040e+00, -5.00000000e+00, 4.99999970e-02, 5.79192266e-02, 1.00000000e+00, 0.00000000e+00, -1.21843040e+00, -5.00000000e+00
-1.32117617e+00, -4.86776400e+00, 4.99999970e-02, 6.14758506e-02, 1.02651954e+00, -1.24836934e-03, -1.32117617e+00, -4.86776400e+00
-1.41745591e+00, -5.00000000e+00, 4.99999970e-02, 6.42005503e-02, 1.00000000e+00, 0.00000000e+00, -1.41745591e+00, -5.00000000e+00
-1.51117504e+00, -4.84405470e+00, 4.99999970e-02, 6.65815994e-02, 1.02716267e+00, -1.71450747e-03, -1.51117504e+00, -4.84405470e+00
-1.61648130e+00, -5.00000000e+00, 4.99999970e-02, 6.99716210e-02, 1.00000000e+00, 0.00000000e+00, -1.61648130e+00, -5.00000000e+00
-1.70755100e+00, -4.82426691e+00, 4.99999970e-02, 7.25690499e-02, 1.02589023e+00, -2.07245769e-03, -1.70755100e+00, -4.82426691e+00
-1.81550682e+00, -5.00000000e+00, 4.99999970e-02, 7.55187720e-02, 1.00000000e+00, 0.00000000e+00, -1.81550682e+00, -5.00000000e+00
